1595730,324644621,8
1214330,734842521,10
1529550,3650585854,2
1454240,3078344940,2
2827471,428962753,8
1557460,1295604293,2
1124300,802298204,2
1596030,4107826100,12
1012790,3222183168,2
1191740,2306491139,2
1628530,1661086937,20
1031500,442377172,2
2013900,2782965830,24
1476060,2221203874,2
1508070,4181499577,2
1490220,3119795774,2
1264250,973543862,2
2020680,1953013670,4
5063574,2995993902,2
1576150,1827691635,4
1236410,3587183618,2
2159200,775824378,2
1234260,1153352317,2
2136610,2781122637,2
2425930,4283573641,2
2002260,2955135098,6
1246510,706080166,6
1453810,2114012557,4
1402730,3499277923,2
1008490,2204742515,98
2841117,3545592050,6
1158670,1285476379,2
1606800,291240534,2
1944410,3261552584,4
1436540,925086250,2
1012810,593728249,4
2834408,3719386105,6
2037200,1796332769,2
1205950,1152558316,4
2849024,1490064880,4
1516460,2622665734,14
1516490,2622664429,2
1012620,3265025033,4
1461160,3334531584,2
1598530,652135941,2
1588730,490270093,24
1529560,4283583646,2
1151120,788571462,2
1489600,2367577036,2
1334480,2659450613,4
1311110,1819875830,18
1046950,180525385,4
1576280,1739939085,2
2088240,1829142635,4
1247260,2798721184,6
1264890,1376101574,2
1271480,3342422995,2
2253720,1828595405,2
1581180,4076236452,2
1378140,3658338422,2
1584870,2259717590,4
2158500,97388233,2
1396550,2247614350,4
1492440,3839489846,2
1316340,1224159374,2
1594060,1364121458,60
1530610,1136376301,2
1494800,4290279098,4
1263650,1918244586,2
1445640,3675795077,2
1236900,2389903049,4
1522370,3964286816,2
2028970,2204756870,75
1005110,1964088154,2
2259190,2779538030,2
1247250,404120774,4
2149890,1736745155,2
1319770,3600082986,2
1221740,2891847836,2
1000520,2007969327,2
1220560,516011378,2
1335080,1150642051,2
1319750,3799197123,2
1076470,1355215266,2
1523060,2896646798,2
2835840,3189552607,4
1863230,4176731812,2
2169259502,3205808981,2
2029090,2204195720,38
1315720,4156671150,6
2609790,1721882945,2
1189130,195383392,2
1186420,4048838297,4
1012980,4075472354,12
1266440,241123685,4
1198550,1937359144,2
1451150,3837223345,2
1547720,1154899103,4
5020374,1487466649,2
2153740,1953844085,2
1582920,1661299652,36
2259610,1963812110,2
1578240,3312453029,2
1588410,1661815850,16
2834051,3538737703,2
2029110,4283222161,4
1483240,3568032244,2
1514940,3240317318,2
1367790,3710235892,2
2034180,1145000604,2
1605600,3992952985,4
1437450,1500635713,2
1172960,3190051485,2
1432850,70933296,4
1771640,2410874371,2
1008500,3757950314,4
1375040,1584143019,2
2057100,2941088708,2
1534930,1828312578,4
1007070,4160257917,2
1294090,167554351,2
1012960,4214131100,4
1007130,958263740,14
1365480,3975592320,2
2029000,2204749475,4
1340780,2786744675,2
1237410,1961989025,4
1326980,3980866919,4
1189000,1010188010,2
1004820,1408327406,2
2083110,1955678045,2
1383160,2523560731,4
1539230,263728808,2
1002970,3069914929,2
1610210,2661455489,2
1000090,2289457895,2
1342540,1743218606,2
1218760,3457288712,6
1673310,3941797002,2
2823760,1100454048,4
2704010,895785625,2
